gene,inMod
evm.TU.chromosome_1.1377,0
evm.TU.chromosome_1.1378,1
evm.TU.chromosome_1.1379,1
evm.TU.chromosome_1.138,0
evm.TU.chromosome_1.1380,1
evm.TU.chromosome_1.1381,1
evm.TU.chromosome_1.1382,1
evm.TU.chromosome_1.1383,1
evm.TU.chromosome_1.1384,1
evm.TU.chromosome_1.1385,1
evm.TU.chromosome_1.1386,1
evm.TU.chromosome_1.1389,0
evm.TU.chromosome_1.1390,1
evm.TU.chromosome_1.1391,0
evm.TU.chromosome_1.1392,0
evm.TU.chromosome_1.1393,1
evm.TU.chromosome_1.1394,0
evm.TU.chromosome_1.1395,1
evm.TU.chromosome_1.1396,0
evm.TU.chromosome_1.1397,1
evm.TU.chromosome_1.1398,1
evm.TU.chromosome_1.1399,0
evm.TU.chromosome_1.14,0
evm.TU.chromosome_1.1400,1
evm.TU.chromosome_1.1401,0
evm.TU.chromosome_1.1403,1
evm.TU.chromosome_1.1404,1
evm.TU.chromosome_1.1405,0
evm.TU.chromosome_1.1406,1
evm.TU.chromosome_1.1414_evm.TU.chromosome_1.1407,0
evm.TU.chromosome_1.1415,0
evm.TU.chromosome_1.1416,0
evm.TU.chromosome_1.1417,1
evm.TU.chromosome_1.1418,0
evm.TU.chromosome_1.1419,1
evm.TU.chromosome_1.1420,1
evm.TU.chromosome_1.1421,0
evm.TU.chromosome_1.1422,1
evm.TU.chromosome_1.1423,1
evm.TU.chromosome_1.1424,0
evm.TU.chromosome_1.1425,1
evm.TU.chromosome_1.1426,0
evm.TU.chromosome_1.1427,1
evm.TU.chromosome_1.1428,1
evm.TU.chromosome_1.1429,1
evm.TU.chromosome_1.1434,1
evm.TU.chromosome_1.1435,0
evm.TU.chromosome_1.1436,1
evm.TU.chromosome_1.1437,1
evm.TU.chromosome_1.1438,1
evm.TU.chromosome_1.1439,1
evm.TU.chromosome_1.1440,1
evm.TU.chromosome_1.1441,0
evm.TU.chromosome_1.1442,0
evm.TU.chromosome_1.1443,1
evm.TU.chromosome_1.1444,1
evm.TU.chromosome_1.1445,0
evm.TU.chromosome_1.1447,1
evm.TU.chromosome_1.1448,0
evm.TU.chromosome_1.1449,1
evm.TU.chromosome_1.1450,1
evm.TU.chromosome_1.1451,0
evm.TU.chromosome_1.1452,1
evm.TU.chromosome_1.1456,0
evm.TU.chromosome_1.1457,1
evm.TU.chromosome_1.1458,0
evm.TU.chromosome_1.1459,0
evm.TU.chromosome_1.1460,1
evm.TU.chromosome_1.1461,1
evm.TU.chromosome_1.1463,1
evm.TU.chromosome_1.1464,0
evm.TU.chromosome_1.1465,0
evm.TU.chromosome_1.1466,1
evm.TU.chromosome_1.1467,1
evm.TU.chromosome_1.1469,1
evm.TU.chromosome_1.1470,1
evm.TU.chromosome_1.1471,1
evm.TU.chromosome_1.1472,0
evm.TU.chromosome_1.1473,1
evm.TU.chromosome_1.1474,0
evm.TU.chromosome_1.1475,1
evm.TU.chromosome_1.1476,0
evm.TU.chromosome_1.1477,1
evm.TU.chromosome_1.1484,1
evm.TU.chromosome_1.1485,1
evm.TU.chromosome_1.1487,1
evm.TU.chromosome_1.1489,1
evm.TU.chromosome_1.1493,1
evm.TU.chromosome_1.1494,1
evm.TU.chromosome_1.1495,0
evm.TU.chromosome_1.1496,1
evm.TU.chromosome_1.1497,1
evm.TU.chromosome_1.1498,0
evm.TU.chromosome_1.15,1
evm.TU.chromosome_1.1500,1
evm.TU.chromosome_1.1502,0
evm.TU.chromosome_1.1503,0
evm.TU.chromosome_1.1504_evm.TU.chromosome_1.1506,0
evm.TU.chromosome_1.1507,1
evm.TU.chromosome_1.1509,1
evm.TU.chromosome_1.1511,1
evm.TU.chromosome_1.1513,1
evm.TU.chromosome_1.1514,1
evm.TU.chromosome_1.1515,0
evm.TU.chromosome_1.1516,1
evm.TU.chromosome_1.1517,1
evm.TU.chromosome_1.1518,1
evm.TU.chromosome_1.1519,1
evm.TU.chromosome_1.1520,0
evm.TU.chromosome_1.1521,1
evm.TU.chromosome_1.1522,1
evm.TU.chromosome_1.1523,1
evm.TU.chromosome_1.1524,1
evm.TU.chromosome_1.1525,1
evm.TU.chromosome_1.1527,1
evm.TU.chromosome_1.1528,1
evm.TU.chromosome_1.1529,0
evm.TU.chromosome_1.1530,0
evm.TU.chromosome_1.1531,0
